EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,EpLenMean,TimeElapsed,TimestepsSoFar,meankl,optimgain,EpRewMean,entloss,entropy
8,-5.6214514,0.26903582,2434,32.05,502.0334358215332,82832,0.012523463,0.26903582,4.6162948110906994e-05,0.0,38.894466
7,-2.568311,0.36990434,2441,33.275,503.5236256122589,83062,0.012505213,0.36990434,4.710098328482186e-05,0.0,38.901745
9,-7.618346,1.0601947,2450,31.95,504.9376645088196,83320,0.014779246,1.0601947,5.719380024294025e-05,0.0,38.89237
8,-9.600566,0.6689805,2458,32.75,506.37514424324036,83570,0.014761543,0.6689805,5.382128407098938e-05,0.0,38.889095
7,-6.1151648,0.35674554,2465,32.475,507.8200452327728,83829,0.010443352,0.35674554,6.954752733078736e-05,0.0,38.886776
8,-6.3407083,0.35037845,2473,32.6,509.2719728946686,84089,0.014655097,0.35037845,9.106488856786333e-05,0.0,38.870747
7,-2.738735,0.6710019,2480,31.775,510.7056357860565,84306,0.013120841,0.6710019,7.977305667987489e-05,0.0,38.87998
7,-5.938338,0.37239397,2487,32.25,512.386430978775,84536,0.014235677,0.37239397,8.163489950921791e-05,0.0,38.87866
10,-33.740643,0.31889036,2497,31.975,513.8287816047668,84808,0.011265431,0.31889036,8.013184497369383e-05,0.0,38.854763
7,-10.250021,0.17204331,2504,32.55,515.3002405166626,85107,0.004486892,0.17204331,7.077036502816633e-05,0.0,38.862675
9,-10.878881,0.4198311,2513,31.925,516.7449743747711,85366,0.0062278197,0.4198311,6.138276581837579e-05,0.0,38.85657
9,-8.947977,0.19594887,2522,31.725,518.2255351543427,85650,0.0049859583,0.19594887,6.116336185027595e-05,0.0,38.854458
8,-6.444173,0.25683737,2530,31.325,519.6438264846802,85884,0.003919674,0.25683737,5.876365879064654e-05,0.0,38.854923
6,-7.6656284,0.3460233,2536,34.4,521.171573638916,86147,0.014136755,0.3460233,5.721083196817136e-05,0.0,38.836716
9,-5.515093,0.386442,2545,31.55,522.5654220581055,86398,0.013957677,0.386442,6.442388368274352e-05,0.0,38.822315
9,-11.426936,0.2111341,2554,31.05,524.026937007904,86668,0.0039584283,0.2111341,6.00992350143537e-05,0.0,38.811787
10,-6.6137004,0.37428313,2564,30.275,525.4353573322296,86920,0.0111324005,0.37428313,5.071769499591661e-05,0.0,38.812332
8,-5.0677757,0.41368467,2572,30.575,526.8962421417236,87178,0.012933335,0.41368467,6.107179794059764e-05,0.0,38.8161
7,-5.1367264,0.20115942,2579,29.45,528.2566299438477,87399,0.003748155,0.20115942,7.416716906637636e-05,0.0,38.830276
8,-8.41322,0.31829488,2587,29.875,529.7626338005066,87646,0.014237692,0.31829488,7.190088207929245e-05,0.0,38.858196
9,-8.017887,0.35741723,2596,30.225,531.3561773300171,87926,0.014093789,0.35741723,7.127128950255084e-05,0.0,38.867435
