# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
5e-06,36,29.538704
0.000123,30,29.583927
0.000486,33,29.631262
0.000299,31,29.678109
0.000112,41,29.740498
0.000133,27,29.779774
0.000191,36,29.834174
1e-06,34,29.957511
1.5e-05,30,30.007957
0.000154,32,30.064362
1e-06,41,30.129569
1.1e-05,61,30.222925
4e-06,39,30.281109
0.00029,32,30.400387
7.2e-05,24,30.436498
0.000109,30,30.482633
0.0,29,30.53009
0.000274,29,30.571912
9.7e-05,40,30.630579
6.5e-05,58,30.720426
0.0,52,30.881123
0.000177,31,30.931023
0.000161,22,30.968527
7.2e-05,53,31.054841
2.4e-05,34,31.107446
1e-06,40,31.170819
0.000487,49,31.243683
6e-06,42,31.396148
0.000662,33,31.450743
0.000172,30,31.511238
3e-06,28,31.556676
1e-05,31,31.612261
2.1e-05,35,31.67399
0.000249,49,31.758336
9.6e-05,66,31.951802
0.0001,28,32.002682
0.000105,36,32.064225
8.3e-05,33,32.122111
2.5e-05,26,32.168243
2.9e-05,29,32.223855
0.0,35,32.283475
1.6e-05,26,32.403342
2.3e-05,37,32.466766
9.7e-05,41,32.531401
0.000176,49,32.601974
0.000124,36,32.655894
2.1e-05,67,32.755446
1.2e-05,29,32.875178
6e-06,39,32.933386
9e-06,23,32.966669
7e-05,46,33.036204
6e-06,34,33.084947
0.000116,61,33.176227
0.000259,39,33.235053
2e-06,45,33.375374
1e-06,28,33.419668
6.5e-05,21,33.449819
0.000226,46,33.523139
0.0,28,33.569638
0.0,45,33.655827
0.000147,39,33.72195
0.0,27,33.836835
8e-05,42,33.897062
2.7e-05,34,33.94658
5.9e-05,29,33.992772
0.000152,28,34.035314
1e-06,37,34.090436
0.000187,34,34.145558
1.5e-05,28,34.194686
0.000177,32,34.337332
0.000243,40,34.408081
1.8e-05,22,34.447155
8.8e-05,34,34.506189
0.0,29,34.551023
3e-06,31,34.598269
0.000899,36,34.65133
4.1e-05,29,34.693752
1.4e-05,57,34.852942
0.0,29,34.899561
0.0,35,34.953299
1e-06,29,34.999322
0.000373,40,35.05848
3.4e-05,28,35.105162
2.5e-05,25,35.149237
8.2e-05,32,35.271832
0.000395,52,35.351485
0.00036,34,35.403277
0.0,46,35.473669
0.000125,28,35.518749
3.8e-05,31,35.566979
0.000236,32,35.611363
0.000131,36,35.745661
5.4e-05,42,35.820211
4.5e-05,24,35.85979
0.0,23,35.892764
1e-05,29,35.945872
2e-06,29,35.993742
2.7e-05,60,36.096058
1e-06,34,36.156675
1e-06,29,36.288406
0.000491,28,36.337106
0.000115,51,36.424128
8e-06,37,36.490065
7.6e-05,24,36.530601
0.000272,35,36.586057
0.000363,29,36.629934
1e-06,29,36.761775
6e-06,41,36.842662
0.000169,36,36.906049
2e-06,34,36.979147
5.6e-05,43,37.050211
8.8e-05,39,37.11066
0.000569,27,37.15152
2.5e-05,45,37.296625
9.2e-05,26,37.338543
9.7e-05,36,37.396446
1e-06,33,37.446714
0.000171,28,37.49398
1.4e-05,35,37.547368
0.0,31,37.594576
1.4e-05,32,37.640863
4e-05,30,37.760937
0.0,30,37.805041
5.3e-05,34,37.854936
0.0,42,37.918676
1e-06,36,37.972009
3.5e-05,32,38.023673
3e-06,28,38.066983
9e-06,38,38.12386
1e-06,27,38.240354
0.000181,33,38.290733
1.4e-05,23,38.324615
1.2e-05,38,38.379886
1e-06,28,38.420657
1e-06,33,38.471776
0.000279,47,38.546182
0.0,35,38.676518
0.0,29,38.722987
0.00019,48,38.806188
1.2e-05,34,38.867641
0.000216,27,38.914771
3e-06,28,38.963522
6e-06,31,39.018327
0.000197,45,39.085758
0.000127,36,39.226929
4e-06,32,39.282726
1e-06,27,39.323651
0.000113,35,39.385546
0.000415,33,39.44592
1e-06,35,39.50691
0.0003,33,39.563814
0.000152,29,39.61312
0.0,29,39.741694
0.000216,33,39.79152
3e-06,42,39.852326
2e-06,28,39.900202
3.5e-05,30,39.952375
2.4e-05,43,40.029006
2.3e-05,26,40.068363
2e-06,25,40.106994
1e-05,50,40.266861
7e-06,25,40.304449
0.000294,34,40.365547
0.000111,32,40.424006
2.2e-05,33,40.486857
0.000259,35,40.553422
1.6e-05,48,40.633511
2e-06,36,40.797893
4e-05,33,40.857596
0.000292,32,40.922674
8.1e-05,53,41.024226
0.00034,26,41.070144
1e-06,33,41.131094
2.2e-05,25,41.176763
9.7e-05,29,41.310181
9e-06,26,41.348893
9e-05,44,41.417051
2e-06,30,41.462923
8e-06,46,41.538583
1e-05,35,41.594153
0.0,24,41.636863
4.3e-05,38,41.697142
1e-06,40,41.845043
3e-06,48,41.921441
2e-06,40,41.980257
0.0,30,42.027565
1.2e-05,40,42.088008
0.0,26,42.129736
0.000103,33,42.179367
